TICKER.EXCHANGECODE,TICKER,EXCHANGECODE,ASK,BID,AVG,SUPPLY,DEMAND,TRADED
RDE.PP30D_UNIVERSE,RDE,PP30D_UNIVERSE,,,35062.49743456056,,,76.0
RGO.PP30D_CI2,RGO,PP30D_CI2,,,794.65,,,0.0
RGO.PP30D_NC2,RGO,PP30D_NC2,,,794.65,,,0.0
VIT.PP30D_UNIVERSE,VIT,PP30D_UNIVERSE,,,670.878238424694,,,30.0
WAL.PP30D_UNIVERSE,WAL,PP30D_UNIVERSE,,,5890.763058056504,,,26.0
WRH.PP30D_NC1,WRH,PP30D_NC1,,,3389.91,,,0.0
WRH.PP30D_NC2,WRH,PP30D_NC2,,,3389.91,,,0.0
AWF.NC2,AWF,NC2,5950.0,,2940.56,5.0,0.0,0.0
BCO.NC2,BCO,NC2,747.0,,640.0,200.0,0.0,0.0
BID.CI2,BID,CI2,,,24534.48,0.0,0.0,0.0
BR2.NC1,BR2,NC1,899000.0,,899000.0,8.0,0.0,3.0
BSC.CI1,BSC,CI1,69000.0,40000.0,50000.0,60.0,25.0,10.0
CHA.NC1,CHA,NC1,100000.0,57000.0,100000.0,26.0,22.0,9.0
CL.CI2,CL,CI2,4000.0,2300.0,4000.0,186.0,180.0,0.0
CL.NC2,CL,NC2,4000.0,,3000.0,59.0,0.0,10.0
EPO.NC2,EPO,NC2,170.0,,170.0,12610.0,0.0,300.0
EXO.CI2,EXO,CI2,300.0,,350.0,1000.0,0.0,17.0
FAN.CI1,FAN,CI1,2100.0,,2100.0,1381.0,0.0,10.0
GV.NC2,GV,NC2,2440.0,,1032.55,10.0,0.0,0.0
HPR.AI1,HPR,AI1,800000.0,,800000.0,7.0,0.0,1.0
IND.CI2,IND,CI2,,,1977.28,0.0,0.0,0.0
LD.CI1,LD,CI1,11900.0,7800.0,11900.0,310.0,40.0,4.0
LFE.CI2,LFE,CI2,,,75255.75,0.0,0.0,0.0
MHP.NC2,MHP,NC2,5000.0,,2091.99,110.0,0.0,0.0
MSL.CI2,MSL,CI2,,90000.0,82878.26,0.0,1.0,0.0
NV1.NC1,NV1,NC1,139000.0,135000.0,135000.0,8.0,100.0,1.0
PBU.NC1,PBU,NC1,20000.0,17500.0,20000.0,239.0,66.0,
QCR.CI2,QCR,CI2,,,850000.0,0.0,0.0,0.0
SP.NC1,SP,NC1,2620.0,2500.0,2500.0,73729.0,110.0,2.0
TBU.AI1,TBU,AI1,59000.0,55000.0,58700.0,91.0,40.0,
TRA.AI1,TRA,AI1,2790.0,2100.0,1500.0,3162.0,200.0,57.0
VG.NC2,VG,NC2,2400.0,,2000.0,220.0,0.0,5.0
AEN.PP30D_UNIVERSE,AEN,PP30D_UNIVERSE,,,2104166.666,,,0.0
TRN.PP30D_NC1,TRN,PP30D_NC1,,,464.85048328701004,,,1764.0
HAL.AI1,HAL,AI1,370.0,355.0,370.0,76963.0,14254.0,478.0
C.IC1,C,IC1,820.0,771.0,770.0,84348.0,31927.0,90.0
RAD.NC2,RAD,NC2,14500.0,,3698.62,10.0,0.0,0.0
RDE.NC2,RDE,NC2,35000.0,,14309.63,40.0,0.0,0.0
QCR.AI1,QCR,AI1,1250000.0,700000.0,900000.0,10.0,1.0,2.0
AFR.PP30D_CI1,AFR,PP30D_CI1,,,19378.47333333333,,,3.0
GRN.PP7D_NC2,GRN,PP7D_NC2,,,325.0,,,0.0
TRN.PP30D_NC2,TRN,PP30D_NC2,,,50.0,,,0.0
ANZ.PP7D_UNIVERSE,ANZ,PP7D_UNIVERSE,,,0.0,,,0.0
HE.PP30D_NC2,HE,PP30D_NC2,,,65.0,,,0.0
FAL.PP7D_NC2,FAL,PP7D_NC2,,,1025.39,,,0.0
FAL.PP30D_UNIVERSE,FAL,PP30D_UNIVERSE,,,2363.805070055393,,,50.0
KRE.PP7D_UNIVERSE,KRE,PP7D_UNIVERSE,,,38140.996041666665,,,2.0
NUT.PP30D_UNIVERSE,NUT,PP30D_UNIVERSE,,,333.3650134007433,,,530.0
OLF.PP30D_CI1,OLF,PP30D_CI1,,,1821.429285714286,,,1.0
OLF.PP7D_UNIVERSE,OLF,PP7D_UNIVERSE,,,1138.5666167664672,,,24.0
OFF.PP7D_AI1,OFF,PP7D_AI1,,,105.20689512216636,,,3239.0
TS.PP7D_IC1,TS,PP7D_IC1,,,90.81082926829268,,,176.0
PIB.PP7D_AI1,PIB,PP7D_AI1,,,700.0,,,20.0
WRH.PP30D_UNIVERSE,WRH,PP30D_UNIVERSE,,,0.0,,,0.0
WOR.PP7D_IC1,WOR,PP7D_IC1,,,135000.0,,,0.0
WOR.PP30D_UNIVERSE,WOR,PP30D_UNIVERSE,,,149589.4611764706,,,0.0
RAT.NC1,RAT,NC1,170.0,160.0,170.0,397721.0,775366.0,10082.0
OVE.IC1,OVE,IC1,145.0,121.0,145.0,22512.0,39795.0,210.0
POW.PP30D_CI1,POW,PP30D_CI1,,,16245.631212121212,,,12.0
BFR.NC1,BFR,NC1,4100.0,,4060.14,14.0,0.0,2.0
EXO.NC1,EXO,NC1,345.0,325.0,345.0,11033.0,18276.0,149.0
ACS.AI1,ACS,AI1,170000.0,120000.0,130000.0,29.0,28.0,1.0
BWH.CI2,BWH,CI2,,,3002.35,0.0,0.0,0.0
COT.CI2,COT,CI2,,,3000.0,0.0,0.0,10.0
KOM.CI2,KOM,CI2,999.0,750.0,999.0,14279.0,500.0,10.0
FAL.CI2,FAL,CI2,,,1025.39,0.0,0.0,0.0
AHP.AI1,AHP,AI1,9000.0,,9500.0,1952.0,0.0,44.0
CAF.CI2,CAF,CI2,,,1000.0,0.0,0.0,2.0
ADR.IC1,ADR,IC1,100000.0,70000.0,70000.0,30.0,100.0,22.0
AWH.AI1,AWH,AI1,18000.0,16600.0,19000.0,939.0,220.0,4.0
BAI.NC2,BAI,NC2,,,6790.0,0.0,0.0,0.0
BDE.CI2,BDE,CI2,2800.0,2000.0,2334.5,100.0,5.0,7.0
BWS.CI2,BWS,CI2,,22000.0,30000.0,0.0,5.0,0.0
CAP.AI1,CAP,AI1,371.0,251.0,250.0,4707.0,704.0,150.0
CPU.CI1,CPU,CI1,,,1425662.88,0.0,0.0,
